code;province;year;cereals;beet;sunflower;soybean;rapeseed;potato;vegetable;fruit
0100000000;Автономна Республіка Крим;2015;NA;NA;NA;NA;NA;NA;NA;NA
0500000000;Вінницька;2015;819.3;51.7;187.0;218.9;67.9;107.5;21.8;24.1
0700000000;Волинська;2015;269.7;11.3;2.5;47.0;25.1;68.3;12.8;4.4
1200000000;Дніпропетровська;2015;1186.9;0.7;536.3;7.0;41.6;53.5;35.1;13.8
1400000000;Донецька;2015;538.6;0.5;316.8;0.8;3.3;35.7;14.4;7.3
1800000000;Житомирська;2015;349.2;12.2;60.6;173.0;19.1;58.7;10.3;4.1
2100000000;Закарпатська;2015;88.5;NA;2.7;4.6;0.5;34.1;12.7;13.6
2300000000;Запорізька;2015;941.7;NA;536.1;12.0;23.2;23.2;20.4;8.0
2600000000;Івано-Франківська;2015;152.6;0.6;12.1;22.8;26.8;59.5;10.4;8.5
3200000000;Київська;2015;548.4;15.7;116.0;214.4;35.8;93.8;25.3;8.8
3500000000;Кіровоградська;2015;807.9;13.6;547.8;174.7;23.3;40.2;16.7;5.2
4400000000;Луганська;2015;396.5;NA;308.4;0.1;0.7;16.3;9.0;5.4
4600000000;Львівська;2015;300.3;12.4;11.0;38.9;52.7;94.5;25.1;13.4
4800000000;Миколаївська;2015;948.2;1.5;475.6;20.1;20.7;18.9;19.4;5.0
5100000000;Одеська;2015;1193.1;NA;418.0;7.3;65.3;37.2;30.1;8.0
5300000000;Полтавська;2015;934.0;28.6;315.2;215.3;8.7;55.4;23.8;5.7
5600000000;Рівненська;2015;244.8;10.6;4.2;76.7;20.1;68.8;11.7;6.7
5900000000;Сумська;2015;667.3;1.8;175.2;104.0;10.0;57.4;10.0;3.2
6100000000;Тернопільська;2015;442.7;16.5;30.9;104.5;53.5;57.9;11.6;5.8
6300000000;Харківська;2015;1063.2;15.5;402.8;34.3;14.0;61.8;30.6;7.8
6500000000;Херсонська;2015;780.5;NA;300.6;98.5;32.8;23.6;41.5;7.6
6800000000;Хмельницька;2015;527.2;26.0;40.0;266.5;68.2;65.1;10.8;14.7
7100000000;Черкаська;2015;645.1;10.9;190.1;139.6;37.3;49.8;21.0;5.7
7300000000;Чернівецька;2015;116.7;0.2;10.4;71.7;7.5;33.9;12.1;15.9
7400000000;Чернігівська;2015;678.5;6.7;165.9;82.9;13.0;75.9;10.5;3.3
8000000000;м.Київ;2015;NA;NA;NA;NA;NA;NA;NA;NA
8500000000;м.Севастополь;2015;NA;NA;NA;NA;NA;NA;NA;NA
